Source Target Weight
仁慈 师叔 6
仁慈 普智 7
那一剑 金瓶儿 4
那一剑 田师叔 4
那一剑 田不易 6
那一剑 碧瑶 8
那一剑 兽神 7
那一剑 萧逸才 4
那一剑 老七 12
那一剑 陆雪琪 4
那一剑 师兄 4
老家伙 野狗道人 5
老家伙 师兄 4
老家伙 田不易 7
老家伙 陆雪琪 4
老家伙 张小凡 10
老家伙 田灵儿 4
老家伙 水月 6
老家伙 冷笑 4
渊博 鬼先生 6
鬼厉顿 野狗道人 4
静默 雷声 5
静默 天成 8
静默 萧萧 4
静默 道玄真人 6
静默 上官策 4
静默 师兄 14
静默 子师伯 8
龙飞凤舞 张小凡 6
龙飞凤舞 巨石 7
王二叔 普空 6
王二叔 啊啊啊 4
王二叔 林惊羽 19
王二叔 玉清殿 10
王二叔 张小凡 35
王二叔 师兄 6
碧芒 林惊羽 7
小二哥 张小凡 6
穆之 道玄真人 4
百毒子 师兄 4
百毒子 青龙 11
百毒子 田不易 15
百毒子 端木老祖 43
百毒子 程无牙 4
百毒子 段如山 4
百毒子 苍松 18
百毒子 秦无炎 10
百毒子 吸血老妖 33
百毒子 苏茹 6
百毒子 鬼王 52
百毒子 龙兄 6
那艳 小白 4
那艳 小环 5
普智 明白 13
普智 法相 136
普智 师叔言 4
普智 林惊羽 11
普智 师叔遂 6
普智 金光 5
普智 仁慈 7
普智 普方师叔 14
普智 封印 13
普智 和尚 26
普智 张小凡 95
普智 和普 4
普智 师兄弟 4
普智 恩师 14
普智 徐徐 4
普智 位师叔 4
普智 方师叔 4
普智 真元 4
普智 修真 7
普智 玉冰盘 8
普智 鬼先生 4
普智 沙尘 4
普智 神僧 19
普智 玉冰 8
普智 殷红 6
普智 小村子 8
普智 张师弟 28
普智 普德 10
普智 道玄真人 12
普智 老和尚 8
普智 容颜 6
普智 碧玉 8
普智 林师弟 6
普智 师兄 24
普智 师叔才 13
普智 石头 7
普智 师叔便 6
普智 普泓 100
普智 老僧 4
普智 师叔 375
普智 孤儿 6
普智 老衲 19
老和尚 道玄真人 4
老和尚 普智 8
老和尚 慈祥 4
老和尚 张小凡 15
老和尚 田灵儿 4
小凡 杜必书 5
小凡 法相 4
小凡 师姐 5
小凡 林惊羽 48
小凡 张小凡 140
小凡 鬼王 6
小凡 曾叔常 6
小凡 田不易 32
小凡 雪琪 5
小凡 宋大仁 25
小凡 何大智 5
小凡 小师弟 9
小凡 呼唤 4
